step,loss_current,loss_average
0,1.00487,1.00487
10,0.99523,0.91473
20,0.02162,0.90327
30,0.99938,0.88504
40,1.00695,0.90038
50,1.0153,0.89389
60,0.21046,0.90214
70,1.00879,0.89444
80,1.0112,0.89475
90,0.99779,0.90332
100,0.99945,0.90462
110,1.00325,0.89968
120,0.85952,0.89478
130,1.00614,0.90671
140,0.07611,0.89787
150,1.00249,0.90661
160,0.60678,0.9083
170,0.99818,0.90534
180,1.00677,0.89686
190,0.99609,0.91051
200,1.01158,0.90851
210,1.00065,0.90779
220,1.00262,0.90355
230,0.99784,0.91176
240,1.0101,0.90766
250,1.00231,0.90655
260,1.00245,0.92371
270,0.99771,0.92486
280,0.99849,0.93401
290,0.99642,0.93789
300,1.00005,0.95339
310,0.99063,0.94469
320,1.00483,0.94971
330,1.00809,0.94132
340,0.99107,0.9288
350,1.0057,0.92055
360,1.0075,0.91913
370,0.99811,0.91389
380,0.99706,0.90841
390,0.93752,0.90855
400,0.99746,0.89932
410,1.0033,0.90323
420,1.00754,0.91705
430,1.00779,0.92721
440,0.99672,0.93309
450,0.99886,0.94002
460,0.99981,0.93325
470,0.99503,0.94416
480,0.98921,0.95205
490,0.654,0.9491
500,0.99589,0.94856
510,1.00336,0.94593
520,0.99862,0.93446
530,1.00942,0.93294
540,0.99913,0.94039
550,0.9991,0.92549
560,1.01334,0.92651
570,1.00259,0.91563
580,1.00204,0.90999
590,1.00633,0.912
600,1.00125,0.91358
610,1.00061,0.90463
620,1.00445,0.90582
630,0.99914,0.91471
640,0.99793,0.91597
650,0.99793,0.93174
660,1.00551,0.93757
670,1.00222,0.94546
680,1.00964,0.95086
690,1.0072,0.94752
700,0.9917,0.95301
710,1.00057,0.94949
720,1.00998,0.95129
730,0.3578,0.95369
740,0.99371,0.9459
750,0.99267,0.94252
760,0.99585,0.9388
770,1.01527,0.94186
780,1.00271,0.94057
790,0.9914,0.93799
800,0.98463,0.93925
810,1.00419,0.93953
820,1.01313,0.93982
830,1.0145,0.93913
840,1.00929,0.93655
850,0.99372,0.92937
860,0.86101,0.9191
870,0.10943,0.92213
880,1.01384,0.92622
890,1.00422,0.91898
900,1.01002,0.92903
910,1.00893,0.92813
920,1.01356,0.93599
930,0.80369,0.95271
940,1.00332,0.95373
950,0.99974,0.93656
960,0.99466,0.93228
