step,loss_current,loss_average
0,0.00827,0.00827
10,0.2621,0.12117
20,0.00911,0.11655
30,0.07883,0.11126
40,0.17627,0.10974
50,0.02838,0.11087
60,0.04632,0.11349
70,0.00756,0.11292
80,0.11674,0.11279
90,0.04537,0.10912
100,0.30368,0.10728
110,0.02102,0.10262
120,0.21099,0.10808
130,0.04498,0.10166
140,0.02541,0.09577
150,0.00553,0.09448
160,0.16959,0.09463
170,0.04474,0.09801
180,0.09894,0.09529
190,0.21875,0.10131
200,0.00702,0.09118
210,0.32119,0.09783
220,0.00898,0.10515
230,0.19004,0.10387
240,0.09821,0.10489
250,0.22123,0.10749
260,0.03862,0.11107
270,0.08945,0.11206
280,0.01894,0.11748
290,0.03866,0.11473
300,0.24032,0.11288
310,0.26381,0.11884
320,0.00349,0.11285
330,0.03367,0.11019
340,0.07997,0.11026
350,0.11868,0.10714
360,0.0051,0.1055
370,0.01897,0.10607
380,0.05898,0.10326
390,0.16662,0.09597
400,0.00835,0.09748
410,0.03526,0.09276
420,0.02919,0.09509
430,0.12733,0.09848
440,0.02333,0.09794
450,0.10436,0.09787
460,0.00518,0.09376
470,0.12872,0.09543
480,0.23335,0.0974
490,0.16668,0.09961
500,0.01755,0.09951
510,0.00295,0.09233
520,0.00253,0.09581
530,0.00882,0.09882
540,0.0243,0.10787
550,0.04848,0.11228
560,0.15425,0.11454
570,0.26662,0.11785
580,0.02515,0.11438
590,0.00625,0.12154
600,0.03739,0.11895
610,0.28423,0.11545
620,0.21728,0.11047
630,0.04106,0.1076
640,0.08048,0.10511
650,0.03499,0.10097
660,0.04229,0.10512
670,0.31556,0.1039
680,0.05761,0.1043
690,0.21212,0.10755
700,0.04838,0.10699
710,0.12563,0.10634
720,0.03595,0.10874
730,0.11816,0.11425
740,0.04752,0.10716
750,0.31729,0.11122
760,0.00409,0.1137
770,0.17575,0.10941
780,0.01097,0.10943
790,0.00356,0.11008
800,0.16427,0.11138
810,0.06533,0.10706
820,0.00408,0.10746
830,0.22911,0.10495
840,0.28567,0.10402
850,0.12645,0.10596
860,0.28261,0.10845
870,0.03383,0.10929
880,0.14005,0.10687
890,0.10448,0.10761
900,0.14691,0.11589
910,0.15281,0.11165
920,0.01974,0.10822
930,0.26799,0.10434
940,0.0114,0.09891
950,0.08003,0.09818
960,0.16969,0.10094
