elapsed_s,temp_c,power_w,sm_pct,mem_pct,clk_sm_mhz,clk_mem_mhz,mem_gb,pcirx_gbs
0,45,76.14,0,0,210,9501,0,2,8
2,54,229.80,100,31,1785,9501,954,2,8
5,55,229.39,100,24,1785,9501,954,2,8
7,56,229.04,100,26,1785,9501,954,2,8
9,56,229.35,100,20,1785,9501,954,2,8
11,57,228.75,100,24,1785,9501,954,2,8
13,55,183.93,100,100,1785,9501,700,2,8
15,56,232.62,100,100,1785,9501,700,2,8
17,56,232.64,100,100,1785,9501,700,2,8
19,56,232.82,100,100,1785,9501,700,2,8
21,56,232.96,100,100,1785,9501,700,2,8
23,56,183.69,100,32,1785,9501,570,2,8
25,57,214.59,100,32,1785,9501,570,2,8
27,57,214.99,100,32,1785,9501,570,2,8
29,58,215.44,100,32,1785,9501,570,2,8
31,58,215.76,100,32,1785,9501,570,2,8
33,53,153.49,0,0,1785,9501,2236,2,8
36,56,198.79,100,100,1785,9501,2236,2,8
38,56,198.71,100,100,1785,9501,2236,2,8
40,56,198.71,100,100,1785,9501,2236,2,8
42,56,198.64,100,100,1785,9501,2236,2,8
44,56,198.83,100,100,1785,9501,2236,2,8
46,57,165.88,100,22,1785,9501,954,2,8
48,60,230.42,100,33,1785,9501,954,2,8
50,60,231.49,100,21,1785,9501,954,2,8
52,61,232.68,100,35,1785,9501,954,2,8
54,61,230.70,100,21,1770,9501,954,2,8
56,61,230.83,100,30,1770,9501,954,2,8
58,60,234.87,100,100,1785,9501,700,2,8
60,60,234.78,100,100,1785,9501,700,2,8
62,60,234.96,100,100,1785,9501,700,2,8
65,60,234.89,100,100,1785,9501,700,2,8
67,60,235.09,100,100,1785,9501,700,2,8
69,60,216.02,100,32,1785,9501,570,2,8
71,61,217.44,100,32,1770,9501,570,2,8
73,61,217.00,100,32,1770,9501,570,2,8
75,61,217.06,100,32,1770,9501,570,2,8
77,61,217.11,100,32,1770,9501,570,2,8
79,58,141.09,100,100,1785,9501,2236,2,8
81,59,199.54,100,100,1785,9501,2236,2,8
83,59,199.58,100,100,1785,9501,2236,2,8
85,59,199.46,100,100,1785,9501,2236,2,8
87,59,199.75,100,100,1785,9501,2236,2,8
89,59,199.61,100,100,1785,9501,2236,2,8
91,61,214.48,100,23,1770,9501,954,2,8
94,62,231.37,100,25,1770,9501,954,2,8
96,63,232.14,100,32,1770,9501,954,2,8
98,63,232.40,100,23,1770,9501,954,2,8
100,63,233.60,100,34,1770,9501,954,2,8
102,62,221.10,19,1,1770,9501,700,2,8
104,62,236.01,100,100,1770,9501,700,2,8
106,62,235.87,100,100,1770,9501,700,2,8
108,62,236.04,100,100,1770,9501,700,2,8
110,62,236.06,100,100,1770,9501,700,2,8
112,62,236.25,100,100,1770,9501,186,2,8
114,62,218.16,100,31,1770,9501,570,2,8
116,63,218.26,100,31,1770,9501,570,2,8
118,63,218.45,100,31,1770,9501,570,2,8
120,63,218.45,100,32,1770,9501,570,2,8
122,63,218.57,100,32,1770,9501,176,2,8
125,60,193.36,100,100,1770,9501,2236,2,8
127,60,200.58,100,100,1770,9501,2236,2,8
129,60,200.56,100,100,1770,9501,2236,2,8
131,60,200.57,100,100,1770,9501,2236,2,8
133,60,200.48,100,100,1770,9501,2236,2,8
135,60,200.27,100,100,1770,9501,186,2,8
137,64,231.92,100,23,1770,9501,954,2,8
139,64,232.57,100,21,1770,9501,954,2,8
141,65,235.29,100,31,1770,9501,954,2,8
143,65,232.91,100,21,1770,9501,954,2,8
145,65,234.18,100,25,1770,9501,954,2,8
147,63,195.25,100,100,1770,9501,700,2,8
149,63,236.59,100,100,1770,9501,700,2,8
151,63,236.37,100,100,1770,9501,700,2,8
154,63,236.39,100,100,1770,9501,700,2,8
156,63,236.52,100,100,1770,9501,700,2,8
158,63,190.86,100,32,1770,9501,570,2,8
160,64,218.74,100,32,1770,9501,570,2,8
162,64,218.86,100,32,1770,9501,570,2,8
164,64,218.67,100,32,1770,9501,570,2,8
166,64,218.77,100,32,1770,9501,570,2,8
168,59,177.13,3,0,1770,9501,2234,2,8
170,62,200.56,100,100,1770,9501,2236,2,8
172,61,200.53,100,100,1770,9501,2236,2,8
174,61,201.03,100,100,1770,9501,2236,2,8
176,61,200.93,100,100,1770,9501,2236,2,8
178,61,201.21,100,100,1770,9501,2236,2,8
180,60,159.98,80,19,1770,9501,954,2,8
183,65,233.07,100,27,1770,9501,954,2,8
185,65,233.33,100,19,1770,9501,954,2,8
187,65,234.55,100,24,1770,9501,954,2,8
189,66,234.69,100,18,1770,9501,954,2,8
191,66,235.35,100,25,1770,9501,954,2,8
193,64,236.53,100,100,1770,9501,700,2,8
195,64,236.96,100,100,1770,9501,700,2,8
197,64,236.84,100,100,1770,9501,700,2,8
199,64,236.78,100,100,1770,9501,700,2,8
201,63,237.02,100,100,1770,9501,700,2,8
203,64,182.80,100,32,1770,9501,570,2,8
205,64,219.24,100,32,1770,9501,570,2,8
207,64,219.19,100,32,1770,9501,570,2,8
209,64,219.23,100,32,1770,9501,570,2,8
212,64,218.84,100,32,1770,9501,570,2,8
214,61,132.07,100,100,1770,9501,2236,2,8
216,61,200.79,100,100,1770,9501,2236,2,8
218,61,200.75,100,100,1770,9501,2236,2,8
220,61,200.81,100,100,1770,9501,2236,2,8
222,61,201.01,100,100,1770,9501,2236,2,8
224,61,200.62,100,100,1770,9501,2236,2,8
226,64,181.31,100,28,1770,9501,954,2,8
228,65,233.41,100,22,1770,9501,954,2,8
230,65,233.79,100,24,1770,9501,954,2,8
232,65,233.59,100,33,1770,9501,954,2,8
234,66,234.81,100,24,1770,9501,954,2,8
236,60,195.04,5,1,1770,9501,700,2,8
238,64,236.79,100,100,1770,9501,700,2,8
241,63,236.87,100,100,1770,9501,700,2,8
243,63,236.85,100,100,1770,9501,700,2,8
245,63,236.81,100,100,1770,9501,700,2,8
247,63,237.02,100,100,1770,9501,1,2,8
249,64,219.02,100,32,1770,9501,570,2,8
251,64,219.37,100,32,1770,9501,570,2,8
253,64,219.23,100,32,1770,9501,570,2,8
255,64,218.98,100,32,1770,9501,570,2,8
257,64,219.00,100,32,1770,9501,570,2,8
259,61,175.10,100,100,1770,9501,2236,2,8
261,61,200.84,100,100,1770,9501,2236,2,8
263,61,200.93,100,100,1770,9501,2236,2,8
265,61,200.48,100,100,1770,9501,2236,2,8
267,61,200.60,100,100,1770,9501,2236,2,8
270,61,200.81,100,100,1770,9501,2236,2,8
272,64,232.36,100,22,1770,9501,954,2,8
274,65,233.25,100,23,1770,9501,954,2,8
276,65,233.39,100,23,1770,9501,954,2,8
278,65,233.69,100,28,1770,9501,954,2,8
280,65,234.10,100,26,1770,9501,954,2,8
282,63,187.76,100,100,1770,9501,700,2,8
284,63,236.84,100,100,1770,9501,700,2,8
286,63,236.99,100,100,1770,9501,700,2,8
288,63,236.58,100,100,1770,9501,700,2,8
290,63,236.63,100,100,1770,9501,700,2,8
292,59,193.66,11,3,1770,9501,570,2,8
294,64,218.78,100,32,1770,9501,570,2,8
296,64,219.07,100,31,1770,9501,570,2,8
299,64,218.82,100,32,1770,9501,570,2,8
301,64,218.81,100,32,1770,9501,570,2,8
303,60,199.37,4,0,1770,9501,2234,2,8
305,61,200.66,100,100,1770,9501,2236,2,8
307,61,200.73,100,100,1770,9501,2236,2,8
309,61,200.62,100,100,1770,9501,2236,2,8
311,61,200.46,100,100,1770,9501,2236,2,8
313,61,200.36,100,100,1770,9501,2236,2,8
315,57,168.20,0,0,1770,9501,954,2,8
317,64,232.41,100,28,1770,9501,954,2,8
319,65,233.47,100,26,1770,9501,954,2,8
321,65,233.73,100,27,1770,9501,954,2,8
323,65,233.24,100,17,1770,9501,954,2,8
325,65,234.04,100,28,1770,9501,954,2,8
327,63,236.34,100,100,1770,9501,700,2,8
330,63,236.66,100,100,1770,9501,700,2,8
332,63,236.47,100,100,1770,9501,700,2,8
334,63,236.80,100,100,1770,9501,700,2,8
336,63,236.74,100,100,1770,9501,700,2,8
338,63,185.48,100,31,1770,9501,570,2,8
340,64,218.81,100,32,1770,9501,570,2,8
342,64,219.06,100,32,1770,9501,570,2,8
344,64,219.15,100,32,1770,9501,570,2,8
346,64,219.22,100,32,1770,9501,570,2,8
348,59,137.12,30,35,1770,9501,2236,2,8
350,61,201.08,100,100,1770,9501,2236,2,8
352,61,201.12,100,100,1770,9501,2236,2,8
354,61,201.24,100,100,1770,9501,2236,2,8
356,61,200.80,100,100,1770,9501,2236,2,8
359,61,200.65,100,100,1770,9501,2236,2,8
361,63,172.75,100,33,1770,9501,954,2,8
363,64,232.19,100,23,1770,9501,954,2,8
365,65,231.65,100,21,1770,9501,954,2,8
367,65,232.52,100,22,1770,9501,954,2,8
369,65,232.66,100,21,1770,9501,954,2,8
371,61,216.61,4,0,1770,9501,28,2,8
373,63,236.84,100,100,1770,9501,700,2,8
375,63,236.68,100,100,1770,9501,700,2,8
377,63,236.67,100,100,1770,9501,700,2,8
379,63,236.60,100,100,1770,9501,700,2,8
381,63,236.64,100,100,1770,9501,178,2,8
383,64,218.50,100,32,1770,9501,570,2,8
385,64,218.87,100,32,1770,9501,570,2,8
387,64,218.90,100,32,1770,9501,570,2,8
390,64,219.03,100,32,1770,9501,570,2,8
392,64,219.01,100,32,1770,9501,570,2,8
394,61,157.96,100,100,1770,9501,2236,2,8
396,61,200.29,100,100,1770,9501,2236,2,8
398,61,200.62,100,100,1770,9501,2236,2,8
400,61,200.58,100,100,1770,9501,2236,2,8
402,61,200.56,100,100,1770,9501,2236,2,8
404,61,200.76,100,100,1770,9501,2236,2,8
406,64,231.59,100,22,1770,9501,954,2,8
408,65,233.67,100,25,1770,9501,954,2,8
410,65,234.36,100,25,1770,9501,954,2,8
412,65,233.55,100,21,1770,9501,954,2,8
414,65,233.57,100,27,1770,9501,954,2,8
416,63,188.07,100,100,1770,9501,700,2,8
419,63,236.48,100,100,1770,9501,700,2,8
421,63,236.70,100,100,1770,9501,700,2,8
423,63,236.55,100,100,1770,9501,700,2,8
425,63,236.59,100,100,1770,9501,700,2,8
427,60,215.79,4,0,1770,9501,570,2,8
429,64,218.91,100,32,1770,9501,570,2,8
431,64,218.95,100,32,1770,9501,570,2,8
433,64,218.94,100,32,1770,9501,570,2,8
435,64,219.10,100,32,1770,9501,570,2,8
437,63,217.41,90,26,1770,9501,2234,2,8
439,61,200.67,100,100,1770,9501,2236,2,8
441,61,200.72,100,100,1770,9501,2236,2,8
443,61,200.74,100,100,1770,9501,2236,2,8
445,61,200.45,100,100,1770,9501,2236,2,8
448,61,200.53,100,100,1770,9501,2236,2,8
450,58,173.47,4,0,1770,9501,954,2,8
452,64,233.50,100,27,1770,9501,954,2,8
454,65,232.85,100,20,1770,9501,954,2,8
